State,Year,Price,President
Jalisco,1995,952802.192,Ernesto Zedillo
México,1995,1148484.717,Ernesto Zedillo
Michoacán de Ocampo,1995,357772.256,Ernesto Zedillo
Morelos,1995,157617.989,Ernesto Zedillo
Nayarit,1995,98045.993,Ernesto Zedillo
Nuevo León,1995,853356.8,Ernesto Zedillo
Oaxaca,1995,306954.506,Ernesto Zedillo
Puebla,1995,390625.793,Ernesto Zedillo
Querétaro,1995,249677.708,Ernesto Zedillo
Quintana Roo,1995,134354.565,Ernesto Zedillo
San Luis Potosí,1995,237666.352,Ernesto Zedillo
Sinaloa,1995,327570.369,Ernesto Zedillo
Sonora,1995,427732.851,Ernesto Zedillo
Tabasco,1995,375082.821,Ernesto Zedillo
Tamaulipas,1995,391818.081,Ernesto Zedillo
Tlaxcala,1995,83622.143,Ernesto Zedillo
Veracruz de Ignacio de la Llave,1995,819429.085,Ernesto Zedillo
Yucatán,1995,175941.945,Ernesto Zedillo
Zacatecas,1995,115226.865,Ernesto Zedillo
Aguascalientes,1996,124298.764,Ernesto Zedillo
Baja California,1996,558044.575,Ernesto Zedillo
Baja California Sur,1996,80971.993,Ernesto Zedillo
Campeche,1996,734002.007,Ernesto Zedillo
Coahuila de Zaragoza,1996,541594.61,Ernesto Zedillo
Colima,1996,91716.411,Ernesto Zedillo
Chiapas,1996,277752.381,Ernesto Zedillo
Chihuahua,1996,435992.033,Ernesto Zedillo
Ciudad de México,1996,2381093.817,Ernesto Zedillo
Durango,1996,183390.103,Ernesto Zedillo
Guanajuato,1996,529479.376,Ernesto Zedillo
Guerrero,1996,233979.235,Ernesto Zedillo
Hidalgo,1996,286643.929,Ernesto Zedillo
Jalisco,1996,999054.07,Ernesto Zedillo
México,1996,1241792.142,Ernesto Zedillo
Michoacán de Ocampo,1996,372008.218,Ernesto Zedillo
Morelos,1996,166374.385,Ernesto Zedillo
Nayarit,1996,99798.378,Ernesto Zedillo
Nuevo León,1996,906779.122,Ernesto Zedillo
Oaxaca,1996,319534.739,Ernesto Zedillo
Puebla,1996,425612.773,Ernesto Zedillo
Querétaro,1996,275429.117,Ernesto Zedillo
Quintana Roo,1996,146787.797,Ernesto Zedillo
San Luis Potosí,1996,254611.97,Ernesto Zedillo
Sinaloa,1996,332225.363,Ernesto Zedillo
Sonora,1996,443592.829,Ernesto Zedillo
Tabasco,1996,400198.471,Ernesto Zedillo
Tamaulipas,1996,423986.738,Ernesto Zedillo
Tlaxcala,1996,90221.405,Ernesto Zedillo
Veracruz de Ignacio de la Llave,1996,844058.975,Ernesto Zedillo
Yucatán,1996,184958.478,Ernesto Zedillo
Zacatecas,1996,113144.758,Ernesto Zedillo
Aguascalientes,1997,133594.837,Ernesto Zedillo
Baja California,1997,631004.251,Ernesto Zedillo
Baja California Sur,1997,84520.69,Ernesto Zedillo
Campeche,1997,777814.215,Ernesto Zedillo
Coahuila de Zaragoza,1997,593148.483,Ernesto Zedillo
Colima,1997,95885.862,Ernesto Zedillo
Chiapas,1997,286887.615,Ernesto Zedillo
Chihuahua,1997,465482.547,Ernesto Zedillo
Ciudad de México,1997,2556605.051,Ernesto Zedillo
Durango,1997,190883.331,Ernesto Zedillo
Guanajuato,1997,563561.208,Ernesto Zedillo
Guerrero,1997,241019.011,Ernesto Zedillo
Hidalgo,1997,297456.743,Ernesto Zedillo
Jalisco,1997,1073517.83,Ernesto Zedillo
México,1997,1349872.395,Ernesto Zedillo
Michoacán de Ocampo,1997,412081.048,Ernesto Zedillo
Morelos,1997,177536.742,Ernesto Zedillo
Nayarit,1997,101315.849,Ernesto Zedillo
Nuevo León,1997,993197.623,Ernesto Zedillo
Oaxaca,1997,327015.68,Ernesto Zedillo
Puebla,1997,464012.27,Ernesto Zedillo
Querétaro,1997,311036.856,Ernesto Zedillo
Quintana Roo,1997,160989.365,Ernesto Zedillo
San Luis Potosí,1997,271486.832,Ernesto Zedillo
Sinaloa,1997,340612.525,Ernesto Zedillo
Sonora,1997,490764.861,Ernesto Zedillo
Tabasco,1997,413550.601,Ernesto Zedillo
Tamaulipas,1997,455081.683,Ernesto Zedillo
Tlaxcala,1997,99083.706,Ernesto Zedillo
Veracruz de Ignacio de la Llave,1997,870946.819,Ernesto Zedillo
Yucatán,1997,196057.819,Ernesto Zedillo
Zacatecas,1997,116878.946,Ernesto Zedillo
Aguascalientes,1998,143027.444,Ernesto Zedillo
Baja California,1998,662820.822,Ernesto Zedillo
Baja California Sur,1998,86993.272,Ernesto Zedillo
Campeche,1998,808927.143,Ernesto Zedillo
Coahuila de Zaragoza,1998,627310.172,Ernesto Zedillo
Colima,1998,103304.324,Ernesto Zedillo
Chiapas,1998,304458.959,Ernesto Zedillo
Chihuahua,1998,507712.965,Ernesto Zedillo
Ciudad de México,1998,2657943.137,Ernesto Zedillo
Durango,1998,206637.853,Ernesto Zedillo
Guanajuato,1998,609251.753,Ernesto Zedillo
Guerrero,1998,252375.14,Ernesto Zedillo
Hidalgo,1998,330896.628,Ernesto Zedillo
Jalisco,1998,1160210.854,Ernesto Zedillo
México,1998,1429362.561,Ernesto Zedillo
Michoacán de Ocampo,1998,418543.917,Ernesto Zedillo
Morelos,1998,193594.149,Ernesto Zedillo
Nayarit,1998,111041.348,Ernesto Zedillo
Nuevo León,1998,1077062.017,Ernesto Zedillo
Oaxaca,1998,334657.797,Ernesto Zedillo
Puebla,1998,505678.766,Ernesto Zedillo
Querétaro,1998,345343.606,Ernesto Zedillo
Quintana Roo,1998,174543.175,Ernesto Zedillo
San Luis Potosí,1998,288747.333,Ernesto Zedillo
Sinaloa,1998,356125.715,Ernesto Zedillo
Sonora,1998,527235.04,Ernesto Zedillo
Tabasco,1998,430207.572,Ernesto Zedillo
Tamaulipas,1998,504207.002,Ernesto Zedillo
Tlaxcala,1998,101404.039,Ernesto Zedillo
Veracruz de Ignacio de la Llave,1998,907890.003,Ernesto Zedillo
Yucatán,1998,209786.254,Ernesto Zedillo
Zacatecas,1998,126943.37,Ernesto Zedillo
Aguascalientes,1999,145644.385,Ernesto Zedillo
Baja California,1999,720343.964,Ernesto Zedillo
Baja California Sur,1999,89307.071,Ernesto Zedillo
Campeche,1999,763456.631,Ernesto Zedillo
Coahuila de Zaragoza,1999,640331.195,Ernesto Zedillo
Colima,1999,106422.374,Ernesto Zedillo
Chiapas,1999,304224.778,Ernesto Zedillo
Chihuahua,1999,535621.568,Ernesto Zedillo
Ciudad de México,1999,2739399.492,Ernesto Zedillo
Durango,1999,206787.114,Ernesto Zedillo
Guanajuato,1999,617668.996,Ernesto Zedillo
Guerrero,1999,254395.831,Ernesto Zedillo
Hidalgo,1999,332950.914,Ernesto Zedillo
Jalisco,1999,1202945.427,Ernesto Zedillo
México,1999,1477235.692,Ernesto Zedillo
Michoacán de Ocampo,1999,443564.154,Ernesto Zedillo
Morelos,1999,202707.277,Ernesto Zedillo
Nayarit,1999,114192.153,Ernesto Zedillo
Nuevo León,1999,1137219.584,Ernesto Zedillo
Oaxaca,1999,343293.948,Ernesto Zedillo
Puebla,1999,544796.012,Ernesto Zedillo
Querétaro,1999,355088.08,Ernesto Zedillo
Quintana Roo,1999,174096.956,Ernesto Zedillo
San Luis Potosí,1999,295819.416,Ernesto Zedillo
Sinaloa,1999,365612.281,Ernesto Zedillo
Sonora,1999,544837.721,Ernesto Zedillo
Tabasco,1999,424251.703,Ernesto Zedillo
Tamaulipas,1999,536545.01,Ernesto Zedillo
Tlaxcala,1999,107601.492,Ernesto Zedillo
Veracruz de Ignacio de la Llave,1999,891190.639,Ernesto Zedillo
Yucatán,1999,217164.868,Ernesto Zedillo
Zacatecas,1999,124224.347,Ernesto Zedillo
Aguascalientes,2000,158299.884,Ernesto Zedillo
Baja California,2000,790646.793,Ernesto Zedillo
Baja California Sur,2000,95187.276,Ernesto Zedillo
Campeche,2000,826278.19,Ernesto Zedillo
Coahuila de Zaragoza,2000,655490.87,Ernesto Zedillo
Colima,2000,110550.51,Ernesto Zedillo
Chiapas,2000,309796.913,Ernesto Zedillo
Chihuahua,2000,581263.822,Ernesto Zedillo
Ciudad de México,2000,2903708.822,Ernesto Zedillo
Durango,2000,208654.022,Ernesto Zedillo
Guanajuato,2000,653601.346,Ernesto Zedillo
Guerrero,2000,256193.563,Ernesto Zedillo
Hidalgo,2000,337331.454,Ernesto Zedillo
Jalisco,2000,1259069.606,Ernesto Zedillo
México,2000,1560108.787,Ernesto Zedillo
